L,N,case,method,name,run,timer,value
,,6,3,complejidad_worst,52,Excercise 3 Timer,20
,,6,3,complejidad_worst,53,Excercise 3 Timer,20
,,6,3,complejidad_worst,54,Excercise 3 Timer,20
,,6,3,complejidad_worst,55,Excercise 3 Timer,20
,,6,3,complejidad_worst,56,Excercise 3 Timer,20
,,6,3,complejidad_worst,57,Excercise 3 Timer,20
,,6,3,complejidad_worst,58,Excercise 3 Timer,20
,,6,3,complejidad_worst,59,Excercise 3 Timer,20
,,6,3,complejidad_worst,60,Excercise 3 Timer,20
,,6,3,complejidad_worst,61,Excercise 3 Timer,20
,,6,3,complejidad_worst,62,Excercise 3 Timer,20
,,6,3,complejidad_worst,63,Excercise 3 Timer,20
,,6,3,complejidad_worst,64,Excercise 3 Timer,20
,,6,3,complejidad_worst,65,Excercise 3 Timer,20
,,6,3,complejidad_worst,66,Excercise 3 Timer,20
,,6,3,complejidad_worst,67,Excercise 3 Timer,20
,,6,3,complejidad_worst,68,Excercise 3 Timer,20
,,6,3,complejidad_worst,69,Excercise 3 Timer,20
,,6,3,complejidad_worst,70,Excercise 3 Timer,20
,,6,3,complejidad_worst,71,Excercise 3 Timer,20
,,6,3,complejidad_worst,72,Excercise 3 Timer,20
,,6,3,complejidad_worst,73,Excercise 3 Timer,20
,,6,3,complejidad_worst,74,Excercise 3 Timer,20
,,6,3,complejidad_worst,75,Excercise 3 Timer,20
,,6,3,complejidad_worst,76,Excercise 3 Timer,20
,,6,3,complejidad_worst,77,Excercise 3 Timer,20
,,6,3,complejidad_worst,78,Excercise 3 Timer,20
,,6,3,complejidad_worst,79,Excercise 3 Timer,20
